Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,Projected Job Openings
5,19-3011.01,Environmental Economists,Y,https://www.onetonline.org/link/summary/19-3011.01,"$55.50 hourly, $115,440 annual",Slower than average (1% to 2%),900
4,17-3025.00,Environmental Engineering Technologists and Technicians,Y,https://www.onetonline.org/link/summary/17-3025.00,"$28.31 hourly, $58,890 annual",Slower than average (1% to 2%),"1,100"
4,17-2081.00,Environmental Engineers,Y,https://www.onetonline.org/link/summary/17-2081.00,"$50.08 hourly, $104,170 annual",Average (3% to 4%),"3,000"
5,19-2041.02,Environmental Restoration Planners,Y,https://www.onetonline.org/link/summary/19-2041.02,"$38.49 hourly, $80,060 annual",Average (3% to 4%),"8,500"
4,19-4042.00,"Environmental Science and Protection Technicians, Including Health",Y,https://www.onetonline.org/link/summary/19-4042.00,"$23.79 hourly, $49,490 annual",Average (3% to 4%),"5,600"
5,25-1053.00,"Environmental Science Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1053.00,"$87,710 annual",Average (3% to 4%),700
4,19-2041.00,"Environmental Scientists and Specialists, Including Health",Y,https://www.onetonline.org/link/summary/19-2041.00,"$38.49 hourly, $80,060 annual",Average (3% to 4%),"8,500"
5,19-1041.00,Epidemiologists,Y,https://www.onetonline.org/link/summary/19-1041.00,"$40.38 hourly, $83,980 annual",Much faster than average (7% or higher),800
4,13-1041.03,Equal Opportunity Representatives and Officers,Y,https://www.onetonline.org/link/summary/13-1041.03,"$37.70 hourly, $78,420 annual",Average (3% to 4%),"33,300"
2,51-9194.00,Etchers and Engravers,Y,https://www.onetonline.org/link/summary/51-9194.00,"$19.45 hourly, $40,450 annual",Decline (-1% or lower),900
2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Y,https://www.onetonline.org/link/summary/47-5022.00,"$25.26 hourly, $52,550 annual",Little or no change,"3,100"
3,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Y,https://www.onetonline.org/link/summary/43-6011.00,"$35.70 hourly, $74,260 annual",Decline (-1% or lower),"50,000"
4,29-1128.00,Exercise Physiologists,Y,https://www.onetonline.org/link/summary/29-1128.00,"$27.96 hourly, $58,160 annual",Much faster than average (7% or higher),"1,700"
3,39-9031.00,Exercise Trainers and Group Fitness Instructors,Y,https://www.onetonline.org/link/summary/39-9031.00,"$22.20 hourly, $46,180 annual",Much faster than average (7% or higher),"74,200"
2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",Y,https://www.onetonline.org/link/summary/47-5032.00,"$28.42 hourly, $59,110 annual",Decline (-1% or lower),500
n/a,47-5099.00,"Extraction Workers, All Other",,https://www.onetonline.org/link/summary/47-5099.00,"$24.09 hourly, $50,110 annual",Slower than average (1% to 2%),700
2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Y,https://www.onetonline.org/link/summary/51-4021.00,"$22.59 hourly, $46,980 annual",Slower than average (1% to 2%),"6,500"
2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Y,https://www.onetonline.org/link/summary/51-6091.00,"$21.63 hourly, $44,980 annual",Decline (-1% or lower),"2,000"
2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Y,https://www.onetonline.org/link/summary/51-9041.00,"$21.70 hourly, $45,130 annual",Slower than average (1% to 2%),"5,200"
3,51-6092.00,Fabric and Apparel Patternmakers,Y,https://www.onetonline.org/link/summary/51-6092.00,"$32.54 hourly, $67,670 annual",Decline (-1% or lower),300
3,11-3013.00,Facilities Managers,Y,https://www.onetonline.org/link/summary/11-3013.00,"$50.33 hourly, $104,690 annual",Average (3% to 4%),"13,200"
1,45-4021.00,Fallers,Y,https://www.onetonline.org/link/summary/45-4021.00,"$25.92 hourly, $53,900 annual",Decline (-1% or lower),700
